Claim_ID,Claim_Date,Sale_ID,Repair_Status
CL-46503,Microsoft.OleDb.Date,AJ-06146,Pending
CL-4210,Microsoft.OleDb.Date,QY-3310,Completed
CL-7319,Microsoft.OleDb.Date,GP-0357,Completed
CL-72333,Microsoft.OleDb.Date,WF-7320,Rejected
CL-60781,Microsoft.OleDb.Date,TY-94722,Rejected
CL-44251,Microsoft.OleDb.Date,IY-24756,In Progress
CL-27142,Microsoft.OleDb.Date,QG-736417,Pending
CL-94775,Microsoft.OleDb.Date,FL-9609,Pending
CL-49125,Microsoft.OleDb.Date,JC-31529,Completed
CL-57103,Microsoft.OleDb.Date,HA-2666,Completed
CL-6811,Microsoft.OleDb.Date,SO-324887,Pending
CL-5201,Microsoft.OleDb.Date,OQ-95189,Pending
CL-10004,Microsoft.OleDb.Date,XH-3411,Completed
CL-68937,Microsoft.OleDb.Date,JF-8355,In Progress
CL-8853,Microsoft.OleDb.Date,NH-656788,Rejected
CL-49718,Microsoft.OleDb.Date,VT-69104,Pending
CL-45259,Microsoft.OleDb.Date,SO-60574,In Progress
CL-89119,Microsoft.OleDb.Date,IA-66554,Completed
CL-19604,Microsoft.OleDb.Date,MD-2087,Pending
CL-60046,Microsoft.OleDb.Date,CN-1026,In Progress
CL-74641,Microsoft.OleDb.Date,RS-471854,Pending
CL-28544,Microsoft.OleDb.Date,SV-63203,Completed
CL-40548,Microsoft.OleDb.Date,TZ-663653,Pending
CL-8793,Microsoft.OleDb.Date,RD-066638,In Progress
CL-37862,Microsoft.OleDb.Date,XG-052506,In Progress
CL-96660,Microsoft.OleDb.Date,NI-845862,Rejected
CL-20699,Microsoft.OleDb.Date,ND-096052,In Progress
CL-7073,Microsoft.OleDb.Date,LW-55109,Completed
CL-44319,Microsoft.OleDb.Date,HF-13620,Rejected
CL-40074,Microsoft.OleDb.Date,CA-6813,Pending
CL-16423,Microsoft.OleDb.Date,TW-7702,Completed
CL-94922,Microsoft.OleDb.Date,AQ-91241,Pending
CL-6524,Microsoft.OleDb.Date,UV-7022,Rejected
CL-53575,Microsoft.OleDb.Date,JK-683660,Completed
CL-14268,Microsoft.OleDb.Date,JY-576850,Completed
CL-73443,Microsoft.OleDb.Date,YF-4837,In Progress
CL-49883,Microsoft.OleDb.Date,BQ-880657,Pending
CL-84737,Microsoft.OleDb.Date,KT-69841,Pending
CL-3218,Microsoft.OleDb.Date,VV-767827,In Progress
CL-50405,Microsoft.OleDb.Date,IO-1904,Rejected
CL-57662,Microsoft.OleDb.Date,DG-183369,Completed
CL-8058,Microsoft.OleDb.Date,TN-78052,Rejected
CL-25340,Microsoft.OleDb.Date,GB-488519,In Progress
CL-61785,Microsoft.OleDb.Date,LB-17602,In Progress
CL-40517,Microsoft.OleDb.Date,WR-243901,Rejected
CL-1812,Microsoft.OleDb.Date,WY-192032,Rejected
CL-4564,Microsoft.OleDb.Date,SH-6365,Completed
CL-73600,Microsoft.OleDb.Date,HE-35311,Pending
CL-35321,Microsoft.OleDb.Date,FC-45009,Pending
CL-96296,Microsoft.OleDb.Date,RH-38253,Rejected
CL-23197,Microsoft.OleDb.Date,SE-09386,Rejected
CL-83081,Microsoft.OleDb.Date,AW-4646,Rejected
CL-3575,Microsoft.OleDb.Date,ZZ-561286,Pending
CL-39395,Microsoft.OleDb.Date,ZZ-98411,Completed
CL-28566,Microsoft.OleDb.Date,AJ-69063,Pending
CL-710,Microsoft.OleDb.Date,XV-90891,Completed
CL-17296,Microsoft.OleDb.Date,TF-94175,Completed
CL-59379,Microsoft.OleDb.Date,WX-223461,Completed
CL-51734,Microsoft.OleDb.Date,QC-240686,Completed
CL-961,Microsoft.OleDb.Date,HO-241059,Pending
CL-7527,Microsoft.OleDb.Date,IX-372870,Pending
CL-96878,Microsoft.OleDb.Date,DL-474435,In Progress
CL-71207,Microsoft.OleDb.Date,LK-0987,In Progress
CL-31991,Microsoft.OleDb.Date,CN-27238,Rejected
CL-564,Microsoft.OleDb.Date,CY-799721,Pending
CL-66264,Microsoft.OleDb.Date,AS-09831,Rejected
CL-33421,Microsoft.OleDb.Date,HG-95110,In Progress
CL-74804,Microsoft.OleDb.Date,SU-473383,In Progress
CL-50887,Microsoft.OleDb.Date,LS-57758,Pending
CL-9635,Microsoft.OleDb.Date,NC-215597,In Progress
CL-4427,Microsoft.OleDb.Date,KO-54496,Pending
CL-6695,Microsoft.OleDb.Date,ER-49949,Rejected
CL-29652,Microsoft.OleDb.Date,RK-4251,Rejected
CL-49673,Microsoft.OleDb.Date,LG-4505,Pending
CL-66256,Microsoft.OleDb.Date,RD-758696,Rejected
CL-26778,Microsoft.OleDb.Date,WI-5055,In Progress
CL-26033,Microsoft.OleDb.Date,QR-134549,Completed
CL-2001,Microsoft.OleDb.Date,ZQ-783528,Completed
CL-39966,Microsoft.OleDb.Date,KN-78711,Rejected
CL-65265,Microsoft.OleDb.Date,MQ-125099,Pending
CL-79062,Microsoft.OleDb.Date,LG-464493,Pending
CL-67938,Microsoft.OleDb.Date,EN-852565,Rejected
CL-41107,Microsoft.OleDb.Date,AQ-5248,Pending
CL-55500,Microsoft.OleDb.Date,DG-687926,Completed
CL-4583,Microsoft.OleDb.Date,AH-2631,Pending
CL-88527,Microsoft.OleDb.Date,TH-49294,In Progress
CL-6766,Microsoft.OleDb.Date,VU-0882,Completed
CL-27436,Microsoft.OleDb.Date,HS-355291,In Progress
CL-15355,Microsoft.OleDb.Date,IT-16034,Completed
CL-92268,Microsoft.OleDb.Date,GN-4433,Completed
CL-6952,Microsoft.OleDb.Date,IY-238906,In Progress
CL-26254,Microsoft.OleDb.Date,VP-327181,In Progress
CL-16876,Microsoft.OleDb.Date,TY-9224,Completed
CL-91407,Microsoft.OleDb.Date,XG-8174,In Progress
CL-9269,Microsoft.OleDb.Date,RG-0326,Completed
CL-5992,Microsoft.OleDb.Date,TG-0822,Pending
CL-88035,Microsoft.OleDb.Date,CJ-922471,Pending
CL-51886,Microsoft.OleDb.Date,NR-04791,Pending
CL-28295,Microsoft.OleDb.Date,KG-09039,In Progress
CL-6248,Microsoft.OleDb.Date,BU-698705,Completed
CL-28716,Microsoft.OleDb.Date,QV-27908,Rejected
CL-49774,Microsoft.OleDb.Date,JR-161894,In Progress
CL-9035,Microsoft.OleDb.Date,IP-49195,Pending
CL-79873,Microsoft.OleDb.Date,BE-37533,In Progress
CL-90695,Microsoft.OleDb.Date,PB-36366,Completed
CL-22107,Microsoft.OleDb.Date,PU-4596,Rejected
CL-88234,Microsoft.OleDb.Date,XQ-8740,Pending
CL-25137,Microsoft.OleDb.Date,KO-368944,In Progress
CL-29290,Microsoft.OleDb.Date,TT-054407,Rejected
CL-8952,Microsoft.OleDb.Date,BV-57390,Rejected
CL-41810,Microsoft.OleDb.Date,FH-80703,Rejected
CL-93302,Microsoft.OleDb.Date,WB-6387,Pending
CL-39317,Microsoft.OleDb.Date,TP-606068,Pending
CL-8638,Microsoft.OleDb.Date,RD-98907,Pending
CL-5036,Microsoft.OleDb.Date,ZY-586488,Completed
CL-76218,Microsoft.OleDb.Date,HH-66761,In Progress
CL-17457,Microsoft.OleDb.Date,BT-072394,Completed
CL-4300,Microsoft.OleDb.Date,WN-659545,In Progress
CL-47274,Microsoft.OleDb.Date,BH-4375,Pending
CL-75060,Microsoft.OleDb.Date,WN-2693,Completed
CL-97784,Microsoft.OleDb.Date,TI-9656,Pending
CL-37018,Microsoft.OleDb.Date,TN-895967,Completed
CL-86257,Microsoft.OleDb.Date,GS-86111,Completed
CL-1055,Microsoft.OleDb.Date,KV-33288,Pending
CL-68769,Microsoft.OleDb.Date,PX-085809,In Progress
CL-27456,Microsoft.OleDb.Date,NS-179638,Completed
CL-85973,Microsoft.OleDb.Date,CV-5243,In Progress
CL-46562,Microsoft.OleDb.Date,JI-4021,In Progress
CL-1609,Microsoft.OleDb.Date,RU-11749,Completed
CL-1293,Microsoft.OleDb.Date,DK-320833,Pending
CL-685,Microsoft.OleDb.Date,PZ-0994,Rejected
CL-61191,Microsoft.OleDb.Date,JN-72747,In Progress
CL-75987,Microsoft.OleDb.Date,LH-9179,Completed
CL-8829,Microsoft.OleDb.Date,PM-2386,Rejected
CL-24668,Microsoft.OleDb.Date,JC-12525,Pending
CL-98628,Microsoft.OleDb.Date,VA-629786,Completed
CL-14641,Microsoft.OleDb.Date,ZS-6565,In Progress
CL-3674,Microsoft.OleDb.Date,KP-73659,Rejected
CL-17936,Microsoft.OleDb.Date,OR-5565,Rejected
CL-7297,Microsoft.OleDb.Date,JV-6697,Rejected
CL-64836,Microsoft.OleDb.Date,VU-936748,Pending
CL-81103,Microsoft.OleDb.Date,LC-0200,Pending
CL-7821,Microsoft.OleDb.Date,LB-90067,Completed
CL-41367,Microsoft.OleDb.Date,BY-6973,Rejected
CL-72262,Microsoft.OleDb.Date,JW-090556,Rejected
CL-1506,Microsoft.OleDb.Date,WQ-38884,Completed
CL-3219,Microsoft.OleDb.Date,JS-891906,Rejected
CL-22069,Microsoft.OleDb.Date,IB-1522,Rejected
CL-5902,Microsoft.OleDb.Date,TE-69925,In Progress
CL-79456,Microsoft.OleDb.Date,OG-5157,Rejected
CL-63454,Microsoft.OleDb.Date,GX-762341,In Progress
CL-8257,Microsoft.OleDb.Date,BD-03305,Rejected
CL-9599,Microsoft.OleDb.Date,AC-951903,Rejected
CL-98580,Microsoft.OleDb.Date,HL-595810,Rejected
CL-5692,Microsoft.OleDb.Date,PW-0009,Completed
CL-56665,Microsoft.OleDb.Date,EM-50932,Pending
CL-8985,Microsoft.OleDb.Date,IM-404758,Completed
CL-23414,Microsoft.OleDb.Date,JU-894929,In Progress
CL-69946,Microsoft.OleDb.Date,LC-7224,In Progress
CL-23286,Microsoft.OleDb.Date,DQ-8915,Completed
CL-83690,Microsoft.OleDb.Date,TB-8793,In Progress
CL-51514,Microsoft.OleDb.Date,UD-24594,In Progress
CL-919,Microsoft.OleDb.Date,XG-283245,In Progress
CL-42995,Microsoft.OleDb.Date,JC-59316,In Progress
CL-24347,Microsoft.OleDb.Date,XB-347401,Pending
CL-393,Microsoft.OleDb.Date,TH-36165,Completed
CL-9287,Microsoft.OleDb.Date,EZ-871828,Pending
CL-2847,Microsoft.OleDb.Date,FR-798184,Rejected
CL-87261,Microsoft.OleDb.Date,OW-3482,Pending
CL-45821,Microsoft.OleDb.Date,PT-212592,Rejected
CL-9413,Microsoft.OleDb.Date,TP-9119,Pending
CL-27966,Microsoft.OleDb.Date,CO-027146,Completed
CL-33632,Microsoft.OleDb.Date,LU-73502,In Progress
CL-8501,Microsoft.OleDb.Date,OR-515757,Completed
CL-52713,Microsoft.OleDb.Date,ZE-267205,In Progress
CL-97999,Microsoft.OleDb.Date,GC-801559,In Progress
CL-9109,Microsoft.OleDb.Date,EH-432112,Rejected
CL-58146,Microsoft.OleDb.Date,CC-9148,In Progress
CL-36962,Microsoft.OleDb.Date,CE-8911,In Progress
CL-62057,Microsoft.OleDb.Date,TG-8642,Completed
CL-2567,Microsoft.OleDb.Date,HA-078709,Completed
CL-76617,Microsoft.OleDb.Date,AW-16505,Pending
CL-38227,Microsoft.OleDb.Date,CK-53125,Pending
CL-73749,Microsoft.OleDb.Date,GF-89200,Completed
CL-13386,Microsoft.OleDb.Date,MC-092013,In Progress
CL-90975,Microsoft.OleDb.Date,AE-922857,Pending
CL-21256,Microsoft.OleDb.Date,KQ-87778,Rejected
CL-49976,Microsoft.OleDb.Date,EB-046224,Pending
CL-51825,Microsoft.OleDb.Date,RM-81603,Rejected
CL-33717,Microsoft.OleDb.Date,PX-36970,In Progress
CL-26237,Microsoft.OleDb.Date,XW-65355,In Progress
CL-69158,Microsoft.OleDb.Date,CN-090119,Rejected
CL-41293,Microsoft.OleDb.Date,PW-7170,Rejected
CL-19280,Microsoft.OleDb.Date,GJ-68756,Pending
CL-84777,Microsoft.OleDb.Date,MW-01128,In Progress
CL-535,Microsoft.OleDb.Date,FO-516310,Rejected
CL-98998,Microsoft.OleDb.Date,RL-22013,In Progress
CL-54733,Microsoft.OleDb.Date,XS-40026,Pending
CL-73519,Microsoft.OleDb.Date,IG-698723,Completed
CL-8860,Microsoft.OleDb.Date,GL-12131,Pending
CL-21740,Microsoft.OleDb.Date,GM-720624,Completed
CL-69638,Microsoft.OleDb.Date,YT-6252,In Progress
CL-71614,Microsoft.OleDb.Date,QI-121888,In Progress
CL-88371,Microsoft.OleDb.Date,WH-88961,Completed
CL-8814,Microsoft.OleDb.Date,ZK-52198,Completed
CL-48166,Microsoft.OleDb.Date,YL-143047,Pending
CL-67004,Microsoft.OleDb.Date,LZ-19273,Completed
CL-79339,Microsoft.OleDb.Date,JY-7233,Completed
CL-68543,Microsoft.OleDb.Date,MQ-57845,Rejected
CL-36203,Microsoft.OleDb.Date,BL-2785,In Progress
CL-91329,Microsoft.OleDb.Date,JY-52922,Rejected
CL-68509,Microsoft.OleDb.Date,QU-1198,Completed
CL-56329,Microsoft.OleDb.Date,UP-157299,Rejected
CL-8549,Microsoft.OleDb.Date,YW-448639,Pending
CL-39744,Microsoft.OleDb.Date,LY-0648,Rejected
CL-1029,Microsoft.OleDb.Date,SJ-718256,In Progress
CL-40983,Microsoft.OleDb.Date,FN-99245,In Progress
CL-96282,Microsoft.OleDb.Date,LN-916656,Pending
CL-6414,Microsoft.OleDb.Date,MT-230959,In Progress
CL-17096,Microsoft.OleDb.Date,NZ-6755,In Progress
CL-89440,Microsoft.OleDb.Date,OE-770610,Rejected
CL-6068,Microsoft.OleDb.Date,GF-7553,In Progress
CL-8298,Microsoft.OleDb.Date,CM-499270,In Progress
CL-24183,Microsoft.OleDb.Date,HE-54237,In Progress
CL-21193,Microsoft.OleDb.Date,MH-023055,In Progress
CL-16045,Microsoft.OleDb.Date,LW-437767,In Progress
CL-26262,Microsoft.OleDb.Date,FX-577562,Rejected
CL-8191,Microsoft.OleDb.Date,GE-91003,In Progress
CL-2901,Microsoft.OleDb.Date,ST-280341,Completed
CL-22162,Microsoft.OleDb.Date,MW-20879,Pending
CL-98904,Microsoft.OleDb.Date,RT-395227,In Progress
CL-1794,Microsoft.OleDb.Date,YQ-01104,Completed
CL-21415,Microsoft.OleDb.Date,TD-556388,In Progress
CL-20043,Microsoft.OleDb.Date,LW-027207,Rejected
CL-75130,Microsoft.OleDb.Date,PE-3574,Pending
CL-42916,Microsoft.OleDb.Date,EY-859684,Rejected
CL-72102,Microsoft.OleDb.Date,PN-904435,Completed
CL-36208,Microsoft.OleDb.Date,GL-80813,Completed
CL-41575,Microsoft.OleDb.Date,PB-37211,Rejected
CL-17265,Microsoft.OleDb.Date,UC-17376,Pending
CL-62085,Microsoft.OleDb.Date,ZC-2991,In Progress
CL-4128,Microsoft.OleDb.Date,DH-71094,Completed
CL-5482,Microsoft.OleDb.Date,EB-56311,Pending
CL-15071,Microsoft.OleDb.Date,KM-326534,Pending
CL-1484,Microsoft.OleDb.Date,SS-7612,In Progress
CL-10615,Microsoft.OleDb.Date,OO-35271,In Progress
CL-11837,Microsoft.OleDb.Date,UO-55112,Completed
CL-28345,Microsoft.OleDb.Date,OY-1970,Completed
CL-35883,Microsoft.OleDb.Date,SQ-183371,Completed
CL-3446,Microsoft.OleDb.Date,YN-7778,Completed
CL-72016,Microsoft.OleDb.Date,YH-97225,In Progress
CL-4741,Microsoft.OleDb.Date,AU-5119,In Progress
CL-27821,Microsoft.OleDb.Date,FE-0915,Pending
CL-98789,Microsoft.OleDb.Date,VY-101842,Completed
CL-41561,Microsoft.OleDb.Date,OE-5333,Pending
CL-6571,Microsoft.OleDb.Date,KH-48512,Pending
CL-6743,Microsoft.OleDb.Date,LD-2524,Rejected
CL-71017,Microsoft.OleDb.Date,XT-96168,In Progress
CL-3864,Microsoft.OleDb.Date,TV-9720,Rejected
CL-67054,Microsoft.OleDb.Date,EY-33903,In Progress
CL-60438,Microsoft.OleDb.Date,GN-973551,Completed
CL-63616,Microsoft.OleDb.Date,SR-393662,In Progress
CL-8404,Microsoft.OleDb.Date,BA-47608,Rejected
CL-47846,Microsoft.OleDb.Date,CQ-645946,Completed
CL-84723,Microsoft.OleDb.Date,ZM-466203,In Progress
CL-81111,Microsoft.OleDb.Date,RG-336222,Rejected
CL-2443,Microsoft.OleDb.Date,BZ-823396,Pending
CL-98527,Microsoft.OleDb.Date,KT-21575,In Progress
CL-12284,Microsoft.OleDb.Date,IC-731650,Completed
CL-5516,Microsoft.OleDb.Date,HI-499946,Completed
CL-96482,Microsoft.OleDb.Date,DO-18372,Completed
CL-91276,Microsoft.OleDb.Date,FH-60433,Rejected
CL-74331,Microsoft.OleDb.Date,ER-66039,Pending
CL-47491,Microsoft.OleDb.Date,WU-1382,In Progress
CL-76339,Microsoft.OleDb.Date,IF-39721,In Progress
CL-87750,Microsoft.OleDb.Date,GT-674603,Completed
CL-9512,Microsoft.OleDb.Date,OU-6679,Rejected
CL-4691,Microsoft.OleDb.Date,DH-3672,Rejected
CL-74678,Microsoft.OleDb.Date,XH-7921,Pending
CL-5828,Microsoft.OleDb.Date,BL-2757,Completed
CL-7138,Microsoft.OleDb.Date,CB-74309,Completed
CL-5989,Microsoft.OleDb.Date,GS-7836,Pending
CL-34705,Microsoft.OleDb.Date,YC-501032,Rejected
CL-3964,Microsoft.OleDb.Date,ZY-40597,Rejected
CL-2294,Microsoft.OleDb.Date,XB-78686,In Progress
CL-20795,Microsoft.OleDb.Date,XI-344463,Pending
CL-8958,Microsoft.OleDb.Date,AD-4722,In Progress
CL-94062,Microsoft.OleDb.Date,LR-6820,Pending
CL-28317,Microsoft.OleDb.Date,BR-4285,Pending
CL-58217,Microsoft.OleDb.Date,VV-004928,Pending
CL-31817,Microsoft.OleDb.Date,OZ-008148,In Progress
CL-56118,Microsoft.OleDb.Date,ZF-6452,In Progress
CL-68612,Microsoft.OleDb.Date,AJ-7232,Rejected
CL-82495,Microsoft.OleDb.Date,QW-166439,Pending
CL-74585,Microsoft.OleDb.Date,QX-30267,Rejected
CL-70746,Microsoft.OleDb.Date,TG-61936,Pending
CL-8957,Microsoft.OleDb.Date,GG-8280,Pending
CL-94032,Microsoft.OleDb.Date,OA-5037,Pending
CL-3058,Microsoft.OleDb.Date,ZO-9616,Rejected
CL-8743,Microsoft.OleDb.Date,OT-1011,Pending
CL-65618,Microsoft.OleDb.Date,YX-42510,In Progress
CL-9817,Microsoft.OleDb.Date,DU-865809,In Progress
CL-6547,Microsoft.OleDb.Date,NW-5535,Completed
CL-32596,Microsoft.OleDb.Date,YW-87756,Rejected
CL-6973,Microsoft.OleDb.Date,SQ-562707,Rejected
CL-5585,Microsoft.OleDb.Date,LZ-311220,In Progress
CL-13914,Microsoft.OleDb.Date,UM-84500,Completed
CL-32895,Microsoft.OleDb.Date,XB-04028,In Progress
CL-7404,Microsoft.OleDb.Date,TP-905984,Rejected
CL-30162,Microsoft.OleDb.Date,JA-9184,Pending
CL-71394,Microsoft.OleDb.Date,UQ-33370,Pending
CL-34914,Microsoft.OleDb.Date,AF-26249,Pending
CL-60909,Microsoft.OleDb.Date,GS-068921,In Progress
CL-59065,Microsoft.OleDb.Date,IK-11215,Pending
CL-59417,Microsoft.OleDb.Date,WH-9016,Completed
CL-9520,Microsoft.OleDb.Date,VG-0285,Pending
CL-50146,Microsoft.OleDb.Date,PX-118008,In Progress
CL-6107,Microsoft.OleDb.Date,EN-2152,Rejected
CL-44322,Microsoft.OleDb.Date,CG-31971,Rejected
CL-97551,Microsoft.OleDb.Date,KT-60627,In Progress
CL-71607,Microsoft.OleDb.Date,QU-416163,Completed
CL-35205,Microsoft.OleDb.Date,JK-65815,In Progress
CL-57832,Microsoft.OleDb.Date,XB-4831,Completed
CL-17320,Microsoft.OleDb.Date,ME-88035,Rejected
CL-97259,Microsoft.OleDb.Date,WF-69261,Completed
CL-10198,Microsoft.OleDb.Date,EJ-171979,In Progress
CL-516,Microsoft.OleDb.Date,UJ-721814,Pending
CL-2282,Microsoft.OleDb.Date,TM-1052,Completed
CL-1889,Microsoft.OleDb.Date,EJ-09491,Pending
CL-98511,Microsoft.OleDb.Date,EQ-279154,Pending
CL-6470,Microsoft.OleDb.Date,XK-5157,Pending
CL-76257,Microsoft.OleDb.Date,LL-0684,Rejected
CL-62543,Microsoft.OleDb.Date,GS-1098,In Progress
CL-13372,Microsoft.OleDb.Date,RW-748927,Rejected
CL-65680,Microsoft.OleDb.Date,BO-081998,Completed
CL-399,Microsoft.OleDb.Date,TT-727588,Pending
CL-94168,Microsoft.OleDb.Date,PY-93767,Completed
CL-50877,Microsoft.OleDb.Date,SA-60856,Completed
CL-94836,Microsoft.OleDb.Date,QR-78393,In Progress
CL-98852,Microsoft.OleDb.Date,SF-3714,Completed
CL-20237,Microsoft.OleDb.Date,VC-754499,Pending
CL-76547,Microsoft.OleDb.Date,BU-64659,Completed
CL-9299,Microsoft.OleDb.Date,LU-8063,Pending
CL-37816,Microsoft.OleDb.Date,CR-713931,Rejected
CL-64417,Microsoft.OleDb.Date,CH-7009,Completed
CL-89579,Microsoft.OleDb.Date,QN-6064,Rejected
CL-88259,Microsoft.OleDb.Date,SP-91916,In Progress
CL-9448,Microsoft.OleDb.Date,WF-63421,Pending
CL-72861,Microsoft.OleDb.Date,WH-768592,Rejected
CL-53704,Microsoft.OleDb.Date,CX-6975,Completed
CL-9289,Microsoft.OleDb.Date,JC-31870,Rejected
CL-71992,Microsoft.OleDb.Date,MF-0954,In Progress
CL-6643,Microsoft.OleDb.Date,KQ-157617,In Progress
CL-60812,Microsoft.OleDb.Date,MR-08726,In Progress
CL-92696,Microsoft.OleDb.Date,YX-14389,Completed
CL-49784,Microsoft.OleDb.Date,AT-16127,Completed
CL-40994,Microsoft.OleDb.Date,IF-44037,Rejected
CL-2793,Microsoft.OleDb.Date,CN-382381,In Progress
CL-15073,Microsoft.OleDb.Date,IR-556144,Pending
CL-86302,Microsoft.OleDb.Date,PT-143411,Pending
CL-42799,Microsoft.OleDb.Date,LT-3047,Rejected
CL-88946,Microsoft.OleDb.Date,PK-516995,Pending
CL-39806,Microsoft.OleDb.Date,PG-0186,Pending
CL-9517,Microsoft.OleDb.Date,WS-460092,Rejected
CL-54745,Microsoft.OleDb.Date,QO-1965,Completed
CL-85890,Microsoft.OleDb.Date,BR-5445,Rejected
CL-51124,Microsoft.OleDb.Date,IF-573396,Pending
CL-13264,Microsoft.OleDb.Date,DB-50046,Pending
CL-60413,Microsoft.OleDb.Date,YQ-25380,Completed
CL-71711,Microsoft.OleDb.Date,TZ-40933,Rejected
CL-75152,Microsoft.OleDb.Date,HC-85533,Completed
CL-7300,Microsoft.OleDb.Date,WE-4834,Pending
CL-83676,Microsoft.OleDb.Date,JQ-3519,Pending
CL-99054,Microsoft.OleDb.Date,HO-8590,In Progress
CL-9918,Microsoft.OleDb.Date,UI-25013,Completed
CL-52122,Microsoft.OleDb.Date,SB-565499,Rejected
CL-5245,Microsoft.OleDb.Date,GY-49896,Pending
CL-42030,Microsoft.OleDb.Date,TP-15186,In Progress
CL-59394,Microsoft.OleDb.Date,NY-8710,Completed
CL-77491,Microsoft.OleDb.Date,TB-79965,Rejected
CL-74967,Microsoft.OleDb.Date,GR-5145,In Progress
CL-5057,Microsoft.OleDb.Date,TM-57068,In Progress
CL-86593,Microsoft.OleDb.Date,UE-3723,Rejected
CL-43698,Microsoft.OleDb.Date,ZY-51228,Rejected
CL-36273,Microsoft.OleDb.Date,KE-926667,Pending
CL-48279,Microsoft.OleDb.Date,JG-36757,In Progress
CL-31361,Microsoft.OleDb.Date,QV-834522,Rejected
CL-1787,Microsoft.OleDb.Date,QD-2156,In Progress
CL-58798,Microsoft.OleDb.Date,UE-76583,In Progress
CL-40335,Microsoft.OleDb.Date,ZW-5345,Rejected
CL-20215,Microsoft.OleDb.Date,GJ-518482,Pending
CL-67997,Microsoft.OleDb.Date,LL-84505,Rejected
CL-8892,Microsoft.OleDb.Date,EL-57093,Pending
CL-33059,Microsoft.OleDb.Date,VG-0380,Pending
CL-52190,Microsoft.OleDb.Date,HN-05927,In Progress
CL-28359,Microsoft.OleDb.Date,TZ-3620,Rejected
CL-5788,Microsoft.OleDb.Date,CG-7562,Rejected
CL-6275,Microsoft.OleDb.Date,BA-1480,Rejected
CL-40829,Microsoft.OleDb.Date,SH-47140,Rejected
CL-66411,Microsoft.OleDb.Date,YM-951356,Pending
CL-4602,Microsoft.OleDb.Date,GP-9720,Completed
CL-21439,Microsoft.OleDb.Date,BW-4357,In Progress
CL-56512,Microsoft.OleDb.Date,PQ-92670,Rejected
CL-5802,Microsoft.OleDb.Date,KJ-03018,Completed
CL-3729,Microsoft.OleDb.Date,AI-7234,Rejected
CL-81831,Microsoft.OleDb.Date,GO-291414,Completed
CL-4706,Microsoft.OleDb.Date,RT-910382,Rejected
CL-31671,Microsoft.OleDb.Date,EX-81627,Rejected
